Concepto,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Departamento,Origen
Tasa de Subocupación (TS),8.679670097,7.385395198,5.970589437,5.800174961,10.201977861,13.468737314,11.982509996,9.526615761,7.782199481,6.870795967,5.877581116,11.223090091,10.186025971,0.0,14.073961366,14.015567852,7.001976129,8.565996527,Atlántico,CentrosP
Población total,113.211,114.396,115.651,116.948,118.222,119.499,120.795,122.057,123.403,125.104,127.207,130.556,135.366,139.215,141.063,141.996,143.156,144.379,Atlántico,CentrosP
Población en edad de trabajar (PET),77.395,78.651,79.956,81.298,82.63,83.991,85.4,86.804,88.285,90.029,92.04,94.921,97.904,100.351,101.547,102.257,103.209,104.423,Atlántico,CentrosP
Fuerza de trabajo  ,42.085,42.853,45.024,47.2581,49.982415,48.880449999999996,51.326088000000006,54.015256,48.103722000000005,51.546220999999996,50.745278,53.272293,57.327822999999995,53.383353,58.573,66.477,62.821,63.359,Atlántico,CentrosP
Población ocupada,37.875,38.918,40.82,43.261027,47.494591,46.27496300000001,49.215342,52.372763,46.431693,49.868807000000004,49.602498,52.021222,55.131278,51.373081,52.868,62.916,60.734,61.4,Atlántico,CentrosP
Población desocupada,4.21,3.935,4.204,3.997073,2.4878240000000003,2.605487,2.1107460000000002,1.642494,1.672029,1.677414,1.14278,1.2510709999999998,2.1965459999999997,2.0102729999999998,5.705,3.561,2.087,1.959,Atlántico,CentrosP
Población fuera de la fuerza de trabajo,35.31,35.798,34.932,34.0399,32.647585,35.11055,34.073912,32.788744,40.181278,38.482779,41.294722,41.648707,40.576177,46.967647,42.974,35.78,40.388,41.064,Atlántico,CentrosP
Población subocupada,3.653,3.165,2.688,2.7410520000000003,5.099195,6.583578999999999,6.150154000000001,5.1458260000000005,3.743528,3.541636,2.982595,5.978796999999999,5.839427,0.0,8.244,9.317,4.399,5.427,Atlántico,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.404,13.533,11.417,9.158,Atlántico,CentrosP
% población en edad de trabajar ,65.644035721,66.101117428,66.430830959,66.80674189,67.175979482,67.553314162,67.944913796,68.343858874,68.745816466,69.138928803,69.495495671,69.832728502,69.9080623,70.017160414,70.169554428,70.360434396,70.573479745,70.856300788,Bolívar,CentrosP
Tasa Global de Participación (TGP),56.830198171,51.827775394,53.372174446,59.752607175,59.670892078,64.926851262,61.410724826,60.739638633,60.447331861,59.463855141,60.919080466,61.530204609,60.227976329,56.94592699,58.566508235,59.503770334,63.493506707,55.698079327,Bolívar,CentrosP
Tasa de Ocupación (TO),52.296297618,47.357898075,51.27778701,57.695958473,57.151796026,61.690926134,59.214240509,58.18379357,58.006101226,57.582063511,58.53540911,60.006163937,58.829738377,53.96533158,51.496626386,54.835947823,59.594997716,52.543650979,Bolívar,CentrosP
Tasa de Desocupación (TD),7.977977728,8.624482307,3.924118622,3.44193969,4.221649725,4.983955121,3.576711272,4.2078700510000004,4.03860776,3.164597428,3.912848549,2.47689843,2.321575516,5.23408006,12.071544064,7.844582763,6.140012094,5.663441874,Bolívar,CentrosP
Tasa de Subocupación (TS),5.711045632,4.345854955,3.794160843,4.503508385,6.902575718,7.952849535,7.357289249,8.730637296,10.099848152,8.764240235,5.878206297,10.165358157,10.065552559,0.0,8.440310196,9.828052496,8.831706543,4.679958269,Bolívar,CentrosP
Población total,473.452,475.467,477.027,481.408,485.818,489.973,494.062,497.995,501.968,506.648,512.285,520.531,542.215,561.758,576.629,588.956,600.771,612.098,Bolívar,CentrosP
Población en edad de trabajar (PET),310.793,314.289,316.893,321.613,326.353,330.993,335.69,340.349,345.082,350.291,356.015,363.501,379.052,393.327,404.618,414.392,423.985,433.71,Bolívar,CentrosP
Fuerza de trabajo  ,176.624,162.889,169.133,192.17215299999998,194.73774600000002,214.903333,206.149662,206.726753,208.592862,208.29653299999998,216.881064,223.662909,228.295349,223.983706,236.971,246.579,269.203,241.568,Bolívar,CentrosP
Población ocupada,162.533,148.841,162.496,185.557703,186.516601,204.192647,198.776284,198.02795999999998,200.168614,201.70478599999998,208.394837,218.123006,222.9953,212.26022,208.365,227.236,252.674,227.887,Bolívar,CentrosP
Población desocupada,14.091,14.048,6.637,6.61445,8.221146000000001,10.710685999999999,7.373378,8.698793,8.424248,6.591747000000001,8.486227999999999,5.539903000000001,5.300049,11.723486999999999,28.606,19.343,16.529,13.681,Bolívar,CentrosP
Población fuera de la fuerza de trabajo,134.169,151.4,147.76,129.440847,131.615254,116.089667,129.540338,133.62224700000002,136.489138,141.99446700000001,139.13393599999998,139.838091,150.756651,169.343294,167.647,167.813,154.782,192.142,Bolívar,CentrosP
Población subocupada,10.087,7.079,6.417,8.654489,13.44192,17.090939,15.167027000000001,18.048562999999998,21.067562000000002,18.255609,12.748716,22.736136,22.979187999999997,0.0,20.001,24.234,23.775,11.305,Bolívar,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.355,35.15,32.947,15.373,Bolívar,CentrosP
% población en edad de trabajar ,71.365422217,71.779038873,72.197462699,72.603830858,72.990578837,73.362578129,73.717363942,74.047573865,74.356707839,74.64989226,74.932183676,75.200054971,75.161591271,75.170055259,75.205457687,75.29301341,75.402549009,75.571880605,Boyacá,CentrosP
Tasa Global de Participación (TGP),64.966033152,70.021849496,60.805671157,61.887096263,64.527394524,64.445357143,63.783208795,66.236420373,73.429547217,66.580401331,66.336853385,68.23026422,60.408572502,54.232601509,51.747163439,55.24629069,54.039921498,52.296305913,Boyacá,CentrosP
Tasa de Ocupación (TO),61.041584353,67.204244914,56.742384656,57.164595087,61.547615747,61.696720116,58.612479621,63.502357873,71.370999878,63.885877127,64.123658992,65.627061638,57.743209539,51.336591128,47.767691106,50.577261882,50.545569046,48.255229476,Boyacá,CentrosP
Tasa de Desocupación (TD),6.040770243,4.023893402,6.682413702,7.630833342,4.617850757,4.265066017,8.10672475,4.127732877,2.803431885,4.047023073,3.336296915,3.81531951,4.412226365,5.339980567,7.690223132,8.451298268,6.466242651,7.727269386,Boyacá,CentrosP
Tasa de Subocupación (TS),9.383933911,5.290824693,4.19335407,11.305107492,6.737991763,8.571679055,9.902750412,4.765361796,3.912669259,6.62232193,6.320616469,5.313328783,6.460668146,0.0,6.920400591,8.976191913,9.026177253,10.951699904,Boyacá,CentrosP
Población total,545.194,540.095,535.372,531.056,527.005,523.17,519.594,516.418,513.608,511.414,509.833,509.36,508.072,506.159,503.51,500.745,498.076,496.17,Boyacá,CentrosP
Población en edad de trabajar (PET),389.08,387.675,386.525,385.567,384.664,383.811,383.031,382.395,381.902,381.77,382.029,383.039,381.875,380.48,378.667,377.026,375.562,374.965,Boyacá,CentrosP
Fuerza de trabajo  ,252.77,271.457,235.029,238.61622,248.213657,247.34837,244.309462,253.28476,280.428909,254.183998,253.426018,261.348522,230.685236,206.344202,195.949,208.293,202.953,196.093,Boyacá,CentrosP
Población ocupada,237.501,260.534,219.324,220.407814,236.751521,236.798798,224.50396700000002,242.829841,272.567276,243.89711300000002,244.970973,251.377241,220.506881,195.325462,180.88,190.689,189.83,180.94,Boyacá,CentrosP
Población desocupada,15.269,10.923,15.706,18.208406,11.462136000000001,10.549571,19.805495999999998,10.454918,7.861632999999999,10.286885,8.455044,9.971281000000001,10.178355,11.01874,15.069,17.603,13.123,15.153,Boyacá,CentrosP
Población fuera de la fuerza de trabajo,136.31,116.218,151.496,146.95078,136.450343,136.46263000000002,138.721538,129.11024,101.473091,127.586002,128.602982,121.690478,151.189764,174.13579800000002,182.718,168.733,172.609,178.872,Boyacá,CentrosP
Población subocupada,23.72,14.362,9.856,26.97582,16.724616,21.201908,24.193356,12.069935,10.972256,16.832883000000002,16.018087,13.886306000000001,14.903808000000001,0.0,13.56,18.697,18.319,21.475,Boyacá,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.848,26.256,25.813,15.786,Boyacá,CentrosP
% población en edad de trabajar ,70.690158313,71.323142159,71.946334089,72.544422119,73.114601537,73.64852913,74.144071122,74.601265823,75.018399073,75.381712915,75.686468176,75.877940874,75.669914257,75.507767745,75.421158414,75.387097304,75.394008588,75.76768942,Caldas,CentrosP
Tasa Global de Participación (TGP),56.417562981,55.497634727,54.452039079,56.961600311,50.220120327,53.035702315,50.890460042,50.741541985,54.97972322,53.290802644,53.558863068,55.348169795,54.40976014,54.027440361,51.280614235,51.856583563,53.210364891,53.434736419,Caldas,CentrosP
Tasa de Ocupación (TO),52.493862886,52.302344289,50.423460543,52.047809698,46.808563377,50.102727234,48.300762599,48.178690421,52.180501894,51.346841529,51.192523695,52.276257591,50.332341584,47.988659837,47.983569921,47.758583634,49.643021418,50.430373485,Caldas,CentrosP
Tasa de Desocupación (TD),6.954749351,5.757525439,7.398397938,8.626496773,6.793207439,5.530189954,5.088767996,5.050795588,5.091370348,3.647836059,4.418203146,5.550160403,7.493910184,11.177247124,6.42941658,7.902564433,6.704226667,5.622490415,Caldas,CentrosP
Tasa de Subocupación (TS),3.55279142,6.116591361,4.586595334,6.041709357,2.586281081,1.336316439,2.845214235,2.133688561,1.908462643,2.466626977,2.476359566,3.170832699,4.601391648,0.0,3.452546497,5.23880281,3.313481433,2.175391469,Caldas,CentrosP
Población total,301.554,296.204,291.06,286.175,281.532,277.013,272.657,268.6,264.959,261.846,259.189,257.449,253.316,249.622,246.285,243.608,241.746,240.299,Caldas,CentrosP
Población en edad de trabajar (PET),213.169,211.262,209.407,207.604,205.841,204.016,202.159,200.379,198.768,197.384,196.171,195.347,191.684,188.484,185.751,183.649,182.262,182.069,Caldas,CentrosP
Fuerza de trabajo  ,120.265,117.245,114.026,118.254561,103.373598,108.201318,102.87964500000001,101.675394,109.28209600000001,105.187518,105.06695699999999,108.120989,104.294805,101.833081,95.254,95.234,96.982,97.288,Caldas,CentrosP
Población ocupada,111.901,110.495,105.59,108.053335,96.351215,102.21758,97.644339,96.539978,103.71814,101.35045,100.424886,102.12010099999999,96.479046,90.450946,89.13,87.708,90.48,91.818,Caldas,CentrosP
Población desocupada,8.364,6.75,8.436,10.201226,7.022383,5.983738000000001,5.235306,5.135416,5.563956,3.8370680000000004,4.642072,6.000888,7.815759,11.382135,6.124,7.526,6.502,5.47,Caldas,CentrosP
Población fuera de la fuerza de trabajo,92.904,94.017,95.381,89.349439,102.467402,95.814682,99.279355,98.703606,89.48590399999999,92.196482,91.104043,87.226011,87.389195,86.65091899999999,90.497,88.415,85.28,84.781,Caldas,CentrosP
Población subocupada,4.273,7.171,5.23,7.144597,2.6735320000000002,1.445912,2.927146,2.169436,2.085608,2.594584,2.6018359999999996,3.428336,4.799011999999999,0.0,3.289,4.989,3.213,2.116,Caldas,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.631,9.198,8.986,8.489,Caldas,CentrosP
% población en edad de trabajar ,59.393983275,59.82288494,60.252189041,60.687320638,61.117127387,61.547029527,61.98584869,62.437667277,62.89531137,63.364451971,63.822556559,64.375269911,64.674670906,65.02822103,65.479595032,65.926198034,66.380551518,67.106451083,Caquetá,CentrosP
Tasa Global de Participación (TGP),57.332643214,55.265676624,57.704398234,57.927081472,57.582891794,57.56567957,54.446252764,54.170730886,57.58470546,66.17085321,62.584584465,63.459608705,60.455471812,60.559176104,56.806553496,60.176249161,59.957752917,59.984760685,Caquetá,CentrosP
Tasa de Ocupación (TO),54.788535801,52.812111894,51.583814285,52.565193678,54.389075021,55.174578682,52.889570012,53.131055096,56.102596583,64.554739472,60.737630625,60.5596761,57.130752934,53.935487563,52.910740919,56.705281833,56.772033598,54.525307034,Caquetá,CentrosP
Tasa de Desocupación (TD),4.437450064,4.439581454,10.606789321,9.256271259,5.546468185,4.153691758,2.859118256,1.919257453,2.573789108,2.442334743,2.951132225,4.56972973,5.499450717,10.937547318,6.858033689,5.768002123,5.31327337,9.101401069,Caquetá,CentrosP
Tasa de Subocupación (TS),3.730986131,1.983562105,2.752226174,5.294611015,4.854782135,3.634196321,3.049967042,2.3346097,5.567206416,6.80947867,6.07428646,8.341817268,9.856249654,0.0,5.660038224,4.974322662,7.918178064,12.336965091,Caquetá,CentrosP
Población total,138.115,138.554,139.102,139.731,140.36,140.954,141.471,141.98,142.451,142.894,143.302,143.566,143.424,143.51,143.715,144.278,145.163,146.208,Caquetá,CentrosP
Población en edad de trabajar (PET),82.032,82.887,83.812,84.799,85.784,86.753,87.692,88.649,89.595,90.544,91.459,92.421,92.759,93.322,94.104,95.117,96.36,98.115,Caquetá,CentrosP
Fuerza de trabajo  ,47.031,45.808,48.363,49.121586,49.396908,49.939954,47.745008,48.021811,51.593017,59.913737,57.239235,58.650005,56.077891,56.515034,53.457,57.238,57.775,58.854,Caquetá,CentrosP
Población ocupada,44.944,43.774,43.233,44.574759,46.657124,47.865601999999996,46.379922,47.100148999999995,50.265121,58.450443,55.55003,55.969858,52.993915,50.333676,49.791,53.936,54.706,53.498,Caquetá,CentrosP
Población desocupada,2.087,2.034,5.13,4.546827,2.739784,2.0743519999999998,1.365086,0.921662,1.327895,1.463294,1.689206,2.680147,3.0839760000000003,6.1813590000000005,3.666,3.301,3.07,5.357,Caquetá,CentrosP
Población fuera de la fuerza de trabajo,35.001,37.079,35.449,35.677414,36.387091999999996,36.813046,39.946992,40.627189,38.001983,30.630263,34.219765,33.770995,36.681109,36.806966,40.647,37.879,38.585,39.261,Caquetá,CentrosP
Población subocupada,1.755,0.909,1.331,2.600797,2.3981120000000002,1.814916,1.456207,1.1211220000000002,2.87229,4.079813,3.476875,4.892475999999999,5.527177,0.0,3.026,2.847,4.575,7.261,Caquetá,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,1.096,2.956,4.679,Caquetá,CentrosP
% población en edad de trabajar ,66.996380587,67.444037596,68.040423049,68.647678905,69.256045209,69.861912063,70.455947507,71.030854785,71.581461469,72.09501943,72.564007446,72.972493171,73.384916946,73.771052217,74.138930464,74.474512869,74.799218359,74.866210624,Cauca,CentrosP
Tasa Global de Participación (TGP),63.695125363,60.225875559,62.970850747,61.753671012,62.207983422,62.590536029,61.424473295,63.135327723,64.914365202,63.957943638,64.723774281,65.760989545,61.921240477,58.402522609,62.360798027,66.180356418,65.358535415,71.785001761,Cauca,CentrosP
Tasa de Ocupación (TO),60.422526015,56.107001122,58.731383381,58.119877361,57.435162327,57.317857824,56.249608987,57.628930572,59.274290179,60.646589934,61.143180319,61.320343676,56.614780268,51.833281877,55.927317062,61.707220996,61.846809803,67.448122444,Cauca,CentrosP
Tasa de Desocupación (TD),5.137911778,6.839044512,6.732428284,5.884336254,7.672361058,8.424082201,8.424759758,8.721578472,8.688485215,5.177392385,5.53211552,6.752705365,8.569692998,11.248214013,10.316546883,6.759007755,5.373017602,6.041483889,Cauca,CentrosP
Tasa de Subocupación (TS),5.390224174,9.589396452,10.13470368,9.308184604,10.153559535,11.802942544,16.204190176,18.585988401,18.248396685,13.772483979,11.508156242,16.107466883,18.067132143,0.0,10.183509861,13.323033486,12.581269986,14.131820107,Cauca,CentrosP
Población total,810.905,831.049,839.62,848.371,857.001,865.463,873.719,882.035,890.556,899.395,908.449,918.172,931.562,944.853,957.443,969.862,982.037,993.913,Cauca,CentrosP
Población en edad de trabajar (PET),543.277,560.493,571.281,582.387,593.525,604.629,615.587,626.517,637.473,648.419,659.207,670.013,683.626,697.028,709.838,722.3,734.556,744.105,Cauca,CentrosP
Fuerza de trabajo  ,346.041,337.562,359.741,359.645352,369.219934,378.440532,378.12107199999997,395.553561,413.81155099999995,414.71545899999995,426.663651,440.60717900000003,423.309699,407.081935,442.661,478.021,480.095,534.156,Cauca,CentrosP
Población ocupada,328.262,314.476,335.521,338.48260999999997,340.89204700000005,346.560391,346.26528,361.055047,377.857596,393.244012,403.060125,410.854274,387.033358,361.292488,396.993,445.711,454.299,501.885,Cauca,CentrosP
Población desocupada,17.779,23.086,24.219,21.162741999999998,28.327886,31.880142,31.855792,34.498514,35.953955,21.471447,23.603526000000002,29.752905,36.276342,45.789447,45.667,32.309,25.796,32.271,Cauca,CentrosP
Población fuera de la fuerza de trabajo,197.236,222.931,211.54,222.741648,224.30506599999998,226.188468,237.46592800000002,230.96343900000002,223.661449,233.703541,232.54334899999998,229.405821,260.316301,289.946065,267.177,244.279,254.461,209.949,Cauca,CentrosP
Población subocupada,18.652,32.37,36.459,33.476453,37.488966,44.667119,61.271457999999996,73.517539,75.513973,57.116620000000005,49.10112,70.970655,76.479923,0.0,45.078,63.687,60.402,75.486,Cauca,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.945,56.692,35.063,51.479,Cauca,CentrosP
% población en edad de trabajar ,61.96733585,62.351768654,62.726054923,63.094131859,63.452399673,63.825449695,64.213268159,64.606712615,65.009602493,65.41906533,65.837839718,66.230527915,66.304958267,66.421264072,66.582189242,66.782512716,67.016994108,67.486916438,Cesar,CentrosP
Tasa Global de Participación (TGP),50.899221299,52.069657597,58.292269376,57.961545079,57.907847695,56.830910377,52.532411822,55.384728668,53.669947565,55.914515375,60.53308513,54.198635718,55.180245629,49.97239576,57.210603778,53.401427888,58.558931044,57.85415607,Cesar,CentrosP
Tasa de Ocupación (TO),45.378253362,46.050980704,54.084915519,53.747488925,52.954945746,53.899058475,50.496970497,51.416000427,51.037985005,51.225212908,55.910123036,51.689224075,51.150612486,46.598299788,48.535561988,45.982103048,54.13572966,53.529840459,Cesar,CentrosP
Tasa de Desocupación (TD),10.846861301,11.558894701,7.217687528,7.270434471,8.553075526,5.158903637,3.874639017,7.165744667,4.903978258,8.386556577,7.637083232,4.630027326,7.302673443,6.751919575,15.163345982,13.893495237,7.553418932,7.474511608,Cesar,CentrosP
Tasa de Subocupación (TS),5.390345141,3.776380935,4.496676749,6.772671297,5.682661298,6.647523389,3.485561977,3.147779314,2.500388048,5.726646806,6.803784485,5.074969754,5.686044084,0.0,4.460821398,6.25739119,5.671854795,8.424418697,Cesar,CentrosP
Población total,259.122,256.862,256.796,258.276,260.723,263.901,267.588,271.608,275.97,281.233,287.555,296.771,309.826,321.105,329.082,335.215,340.824,346.236,Cesar,CentrosP
Población en edad de trabajar (PET),160.571,160.158,161.078,162.957,165.435,168.436,171.827,175.477,179.407,183.98,189.32,196.553,205.43,213.282,219.11,223.865,228.41,233.664,Cesar,CentrosP
Fuerza de trabajo  ,81.729,83.394,93.896,94.45239500000001,95.799848,95.723712,90.264867,97.18746,96.287643,102.87152499999999,114.601237,106.529044,113.35677899999999,106.582125,125.354,119.547,133.754,135.184,Cesar,CentrosP
Población ocupada,72.864,73.754,87.119,87.585296,87.606014,90.785418,86.767429,90.22325500000001,91.56571799999999,94.244147,105.849045,101.596721,105.07870299999999,99.385786,106.346,102.938,123.651,125.08,Cesar,CentrosP
Población desocupada,8.865,9.639,6.777,6.8670990000000005,8.193833,4.938294,3.4974380000000003,6.964205,4.721925000000001,8.627379000000001,8.752191999999999,4.9323239999999995,8.278075000000001,7.196339,19.008,16.609,10.103,10.104,Cesar,CentrosP
Población fuera de la fuerza de trabajo,78.842,76.764,67.182,68.504605,69.635152,72.712288,81.562133,78.28953999999999,83.11935700000001,81.10847500000001,74.71876300000001,90.02395600000001,92.073221,106.699875,93.756,104.318,94.656,98.48,Cesar,CentrosP
Población subocupada,4.405,3.149,4.222,6.3969499999999995,5.443981,6.363256000000001,3.146238,3.059247,2.407565,5.891089,7.7972209999999995,5.406317,6.445516,0.0,5.592,7.481,7.586,11.388,Cesar,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.618,20.549,10.307,9.854,Cesar,CentrosP
% población en edad de trabajar ,60.786396079,61.127101637,61.417506284,61.656761277,61.871761254,62.093287914,62.349441545,62.634265562,62.940678424,63.271889075,63.641492285,64.101614093,64.73460414,65.385776212,66.031164728,66.666988066,67.281235851,67.87551673,Chocó,CentrosP
Tasa Global de Participación (TGP),54.509479219,51.465594334,59.146678694,59.897068906,63.956292976,58.353209533,59.803165466,49.174285102,56.329804075,60.544069346,62.964060116,60.73025617,49.753693063,42.743372203,34.100550757,34.435216234,29.704783178,25.057593303,Chocó,CentrosP
Tasa de Ocupación (TO),50.079036221,46.987230951,53.744606099,56.505456823,59.750639478,55.244985147,55.368765321,44.661245218,52.381346099,56.761837997,60.378877286,58.696127928,46.734484234,39.968728809,31.896261602,32.390094862,25.829755847,23.270987654,Chocó,CentrosP
Tasa de Desocupación (TD),8.127839526,8.701664561,9.133349015,5.662400757,6.575824367,5.326569712,7.414992352,9.177642085,7.009536145,6.247071579,4.105807067,3.349447822,6.068311001,6.491400306,6.464086668,5.939040306,13.045129154,7.129996992,Chocó,CentrosP
Tasa de Subocupación (TS),3.005572944,2.010634879,1.169450633,2.379280142,2.898148181,3.206596308,3.953880494,0.813274143,1.797325824,2.166900935,3.131787644,1.95751575,1.891384035,0.0,0.635615984,0.803650315,0.090073573,0.482741529,Chocó,CentrosP
Población total,232.58,238.683,244.655,250.537,256.272,261.856,267.255,272.501,277.555,282.424,287.157,291.495,296.557,301.509,306.372,311.139,315.831,320.525,Chocó,CentrosP
Población en edad de trabajar (PET),141.377,145.9,150.261,154.473,158.56,162.595,166.632,170.679,174.695,178.695,182.751,186.853,191.975,197.144,202.301,207.427,212.495,217.558,Chocó,CentrosP
Fuerza de trabajo  ,77.064,75.088,88.874,92.524799,101.409098,94.879401,99.65121099999999,83.930178,98.405351,108.18922500000001,115.06745,113.476306,95.514652,84.265994,68.986,71.428,63.121,54.515,Chocó,CentrosP
Población ocupada,70.8,68.554,80.757,87.285674,94.74061400000001,89.825584,92.26208100000001,76.227367,91.507593,101.43056600000001,110.343002,109.67547599999999,89.718526,78.795951,64.526,67.186,54.887,50.628,Chocó,CentrosP
Población desocupada,6.264,6.534,8.117,5.239125,6.668484,5.0538170000000004,7.38913,7.702811,6.897759,6.7586580000000005,4.7244470000000005,3.80083,5.796126,5.4700429999999995,4.459,4.242,8.234,3.887,Chocó,CentrosP
Población fuera de la fuerza de trabajo,64.313,70.812,61.387,61.948201,57.150902,67.715599,66.980789,86.748822,76.28964900000001,70.505775,67.68355,73.376694,96.460348,112.878006,133.315,135.999,149.374,163.043,Chocó,CentrosP
Población subocupada,2.316,1.51,1.039,2.201424,2.938986,3.042399,3.94009,0.682582,1.768665,2.344353,3.6036680000000003,2.221317,1.806549,0.0,0.438,0.574,0.057,0.263,Chocó,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.864,7.153,10.162,18.388,Chocó,CentrosP
% población en edad de trabajar ,66.912140439,67.867585559,67.780621506,68.189495159,68.579282937,68.954291136,69.315153447,69.659327086,69.983671656,70.287078797,70.564749831,70.827361148,70.837310225,70.886760671,70.961832095,71.088148766,71.237806214,71.546101918,Córdoba,CentrosP
Tasa Global de Participación (TGP),58.760251188,61.615345667,70.236450242,68.168631489,70.427276721,68.652062748,65.870425898,66.401430598,70.815740664,70.065581253,73.837939949,74.310895549,72.227753688,67.361924222,59.683642167,59.519431649,59.866032891,62.204847704,Córdoba,CentrosP
Tasa de Ocupación (TO),51.297040195,54.173600711,61.799370155,59.443912885,63.388718956,62.399951045,61.631710698,63.614692272,68.059113746,65.281046968,69.368352036,71.056365754,66.796595924,61.231581071,55.179190855,53.547168684,53.169586369,55.938918372,Córdoba,CentrosP
Tasa de Desocupación (TD),12.701121662,12.077746014,12.012395357,12.798729289,9.994079131,9.106953896,6.434929093,4.196804648,3.892675403,6.828651386,6.053240267,4.379613205,7.519488682,9.100605752,7.547212516,10.034139774,11.185719512,10.073056302,Córdoba,CentrosP
Tasa de Subocupación (TS),10.676620752,13.409948519,11.300927945,16.63864814,14.602175672,12.444874557,2.490291979,2.103997781,5.347868526,7.040343214,7.999937521,6.196615023,13.226072802,0.0,14.33445664,9.867476929,16.274162677,13.001702168,Córdoba,CentrosP
Población total,751.472,723.335,768.553,777.413,786.096,794.638,803.012,811.218,819.434,827.926,836.813,846.982,862.273,876.268,888.076,898.379,908.147,917.695,Córdoba,CentrosP
Población en edad de trabajar (PET),502.826,490.91,520.93,530.114,539.099,547.937,556.609,565.089,573.47,581.925,590.495,599.895,610.811,621.158,630.195,638.641,646.944,656.575,Córdoba,CentrosP
Fuerza de trabajo  ,295.462,302.476,365.883,361.37145899999996,379.672745,376.170053,366.640719,375.22718,406.107028,407.72913400000004,436.009344,445.787347,441.175065,418.423981,376.123,380.115,387.3,408.421,Córdoba,CentrosP
Población ocupada,257.935,265.944,321.931,315.12050400000004,341.72795,341.91242,343.047649,359.47962800000005,390.29859999999996,379.886733,409.61665000000005,426.26358500000003,408.00095600000003,380.34486400000003,347.737,341.974,343.977,367.281,Córdoba,CentrosP
Población desocupada,37.527,36.532,43.951,46.250955000000005,37.944795,34.257633,23.59307,15.747551999999999,15.808428,27.842401000000002,26.392692999999998,19.523761999999998,33.174108999999994,38.079117,28.387,38.141,43.322,41.141,Córdoba,CentrosP
Población fuera de la fuerza de trabajo,207.364,188.434,155.047,168.742541,159.426255,171.766947,189.968281,189.86182,167.362972,174.195866,154.48565599999998,154.107653,169.635935,202.734019,254.072,258.526,259.644,248.154,Córdoba,CentrosP
Población subocupada,31.545,40.562,41.348,60.127326000000004,55.440481,46.813891000000005,9.130424000000001,7.894772,21.71807,28.70553,34.880475,27.623725999999998,58.350135,0.0,53.915,37.508,63.03,53.102,Córdoba,CentrosP
Fuerza de trabajo potencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.273,44.614,56.369,50.95,Córdoba,CentrosP
% población en edad de trabajar ,69.816622947,70.513424913,71.250490015,71.988827583,72.716186593,73.421131793,74.085806467,74.695836288,75.246876927,75.722699065,76.121474666,76.26050026,76.110989949,76.190768513,75.93058929,75.886875318,75.861539232,76.215141883,Cundinamarca,CentrosP
Tasa Global de Participación (TGP),64.278174051,66.623211511,74.517890333,76.514190426,71.233327834,69.808591038,70.041929631,70.292547519,68.202912729,63.377873558,63.632468523,61.429959053,57.187964246,56.58211025,59.626546325,60.550476632,60.412827668,60.106169805,Cundinamarca,CentrosP
Tasa de Ocupación (TO),59.371744984,63.135126076,68.763320943,70.836201953,65.768037177,65.699582826,66.52213063,66.592361188,64.558287035,60.167236432,60.914579812,56.067328776,51.915878322,49.472312968,49.565437331,54.145831496,53.142913945,53.970927179,Cundinamarca,CentrosP
Tasa de Desocupación (TD),7.6331183,5.235540821,7.722399768,7.420830621,7.672378679,5.886106784,5.025274174,5.263980979,5.343797717,5.065864387,4.271229411,8.729666046,9.218873226,12.565450902,16.873539748,10.577365352,12.033725293,10.207342518,Cundinamarca,CentrosP
Tasa de Subocupación (TS),7.898063176,7.683292104,12.379729122,14.727674633,14.990990113,13.525939308,11.730782533,13.495076252,13.021731882,10.447568718,11.809350704,11.482596958,12.650113492,0.0,9.340774739,12.012766624,7.741030456,7.826923535,Cundinamarca,CentrosP
Población total,732.698,733.934,737.223,742.543,749.503,757.948,768.054,779.761,793.209,809.258,827.794,852.836,862.024,853.685882,873.237,876.166,878.776,881.502,Cundinamarca,CentrosP
